User 1,User 2,Similarity,matching_num
539124334,733708993,5.8,1
366573256,867319701,0.9,1
867319701,733708993,10.733333333333334,2
197894654,539124334,7.4,2
609014677,753374601,4.5,2
521106451,895391630,3.4,2
366573256,991664576,2.3666666666666667,2
737718893,1330016483,5.0,2
867319701,737718893,5.0,3
733708993,197894654,2.566666666666667,3
609014677,895391630,1.9,3
539124334,753374601,5.8,3
521106451,991664576,0.9,3
366573256,1330016483,0.9,3
867319701,753374601,4.9,4
733708993,895391630,2.566666666666667,4
197894654,1330016483,5.0,4
609014677,991664576,1.9,4
539124334,366573256,5.0,4
521106451,737718893,0.9,4
867319701,895391630,4.8,5
733708993,1140637373,2.25,5
197894654,609014677,4.9,5
539124334,5255827089,6.266666666666667,5
521106451,753374601,1.0,5
366573256,1841284301,1.95,5
991664576,737718893,4.8,5
867319701,1330016483,1.0,5
867319701,1841284301,4.8,6
733708993,991664576,2.15,6
197894654,521106451,4.9,6
609014677,539124334,1.8,6
895391630,1140637373,4.9,6
366573256,753374601,3.716666666666667,6
737718893,5255827089,0.7,6
733708993,1330016483,0.9,6
